"","Observation","coder","Behavior","Start","Stop","observation_id_Lisa"
"1","Fergus1","Lisa","Physical Contact",21.817,27.617,1
"2","Fergus1","Lisa","Physical Contact",20.183,24.65,2
"3","Fergus1","Lisa","Vocalization",177.333,181.333,3
"4","Fergus1","Lisa","Vocalization",170.15,174.15,4
"5","Fergus1","Lisa","Vocalization",173.55,177.55,5
"6","Fergus1","Lisa","Physical Contact",11.917,18.25,6
"7","Fergus1","Lisa","Sustained Look at Owner",6.067,10.067,7
"8","Fergus1","Lisa","Physical Contact",14.917,21.067,8
"9","Fergus1","Lisa","Physical Contact",19.15,23.4,9
"10","Fergus1","Lisa","Physical Contact",17.35,21.517,10
"11","Fergus1","Lisa","Alternating Gaze",61.917,65.917,11
"12","Fergus1","Lisa","Sustained Look at Owner",98.2,102.2,12
"13","Fergus1","Lisa","Vocalization",59.05,63.05,13
"14","Fergus1","Lisa","Physical Contact",26.183,62.95,14
"15","Fergus1","Lisa","Sustained Look at Owner",35.267,39.267,15
"16","Fergus1","Lisa","Sustained Look at Owner",165.833,169.833,16
"17","Fergus1","Lisa","Vocalization",169.783,173.783,17
"18","Fergus1","Lisa","Vocalization",164.8,168.8,18
"19","Fergus1","Lisa","Vocalization",159.883,163.883,19
"20","Fergus1","Lisa","Physical Contact",24.283,29.783,20
"21","Fergus1","Lisa","Physical Contact",-0.2,4.783,21
"22","Fergus1","Lisa","Vocalization",161.183,165.183,22
"23","Fergus1","Lisa","Physical Contact",1.583,5.75,23
"24","Fergus1","Lisa","Physical Contact",3.75,9.383,24
"25","Fergus1","Lisa","Physical Contact",3.283,7.533,25
"26","Fergus2","Lisa","Physical Contact",138.683,142.883,26
"27","Fergus2","Lisa","Vocalization",113.217,117.217,27
"28","Fergus2","Lisa","Vocalization",118.033,122.033,28
"29","Fergus2","Lisa","Sustained Look at Owner",161.6,165.6,29
"30","Fergus2","Lisa","Vocalization",102.633,106.633,30
"31","Fergus2","Lisa","Physical Contact",139.067,144.817,31
"32","Fergus2","Lisa","Physical Contact",140.95,145.117,32
"33","Fergus2","Lisa","Vocalization",111.183,115.183,33
"34","Fergus2","Lisa","Vocalization",95.967,99.967,34
"35","Fergus2","Lisa","Vocalization",94.417,98.417,35
"36","Fergus2","Lisa","Vocalization",91.85,95.85,36
"37","Fergus2","Lisa","Vocalization",99.883,103.883,37
"38","Fergus2","Lisa","Vocalization",106.683,110.683,38
"39","Fergus2","Lisa","Vocalization",106.083,110.083,39
"40","Fergus2","Lisa","Vocalization",100.567,104.567,40
"41","Fergus2","Lisa","Physical Contact",25.117,29.233,41
"42","Fergus2","Lisa","Physical Contact",24.75,28.883,42
"43","Fergus2","Lisa","Physical Contact",21.15,28.483,43
"44","Fergus2","Lisa","Physical Contact",49.6,54.117,44
"45","Fergus2","Lisa","Sustained Look at Owner",31.967,35.967,45
"46","Fergus2","Lisa","Physical Contact",25.417,30.4,46
"47","Fergus2","Lisa","Physical Contact",20.783,25.05,47
"48","Fergus2","Lisa","Sustained Look at Owner",8.35,12.35,48
"49","Fergus2","Lisa","Physical Contact",6.467,10.617,49
"50","Fergus2","Lisa","Physical Contact",3.833,8.983,50
"51","Fergus2","Lisa","Physical Contact",19.5,23.717,51
"52","Fergus2","Lisa","Physical Contact",19.017,23.317,52
"53","Fergus2","Lisa","Alternating Gaze",18.55,22.55,53
"54","Fergus2","Lisa","Alternating Gaze",49.717,53.717,54
"55","Fergus2","Lisa","Vocalization",83.367,87.367,55
"56","Fergus2","Lisa","Sustained Look at Owner",76.85,80.85,56
"57","Fergus2","Lisa","Physical Contact",72.3,76.95,57
"58","Fergus2","Lisa","Physical Contact",-0.483,4.317,58
"59","Fergus2","Lisa","Vocalization",91,95,59
"60","Fergus2","Lisa","Vocalization",83.967,87.967,60
"61","Fergus2","Lisa","Physical Contact",69.95,74.667,61
"62","Fergus2","Lisa","Physical Contact",51.183,55.317,62
"63","Fergus2","Lisa","Physical Contact",51.05,55.1,63
"64","Fergus2","Lisa","Physical Contact",50.2,54.95,64
"65","Fergus2","Lisa","Alternating Gaze",69.133,73.133,65
"66","Fergus2","Lisa","Sustained Look at Owner",52.767,56.767,66
"67","Fergus2","Lisa","Physical Contact",51.383,55.5,67
"68","Fergus3","Lisa","Physical Contact",-0.733,3.767,68
"69","Fergus3","Lisa","Physical Contact",32.1,36.3,69
"70","Fergus3","Lisa","Physical Contact",32.767,36.933,70
"71","Fergus3","Lisa","Vocalization",29.683,33.683,71
"72","Fergus3","Lisa","Sustained Look at Owner",20.983,24.983,72
"73","Fergus3","Lisa","Vocalization",22.183,26.183,73
"74","Fergus3","Lisa","Vocalization",173.65,177.65,74
"75","Fergus3","Lisa","Vocalization",174.683,178.683,75
"76","Fergus3","Lisa","Vocalization",64.167,68.167,76
"77","Fergus3","Lisa","Physical Contact",33.1,37.267,77
"78","Fergus3","Lisa","Sustained Look at Owner",45.017,49.017,78
"79","Fergus3","Lisa","Physical Contact",1.133,5.817,79
"80","Fergus3","Lisa","Physical Contact",3.167,7.733,80
"81","Fergus3","Lisa","Physical Contact",37.667,46.067,81
"82","Fergus3","Lisa","Physical Contact",0,4.533,82
"83","Fergus3","Lisa","Sustained Look at Owner",7.017,11.017,83
"84","Fergus3","Lisa","Owner Contact",13.633,18.233,84
"85","Fergus3","Lisa","Positioning in Front of Owner",14.1,18.1,85
"86","Fergus3","Lisa","Owner Contact",12.85,17.067,86
"87","Fergus3","Lisa","Owner Contact",8.467,13.433,87
"88","Fergus4","Lisa","Sustained Look at Owner",11.867,15.867,88
"89","Fergus4","Lisa","Physical Contact",9.983,14.017,89
"90","Fergus4","Lisa","Physical Contact",10.15,14.533,90
"91","Fergus4","Lisa","Alternating Gaze",13.567,17.567,91
"92","Fergus4","Lisa","Physical Contact",15.533,19.683,92
"93","Fergus4","Lisa","Physical Contact",15.85,20.017,93
"94","Fergus4","Lisa","Physical Contact",14.617,18.733,94
"95","Fergus4","Lisa","Physical Contact",9.8,13.883,95
"96","Fergus4","Lisa","Physical Contact",4.8,10.267,96
"97","Fergus4","Lisa","Physical Contact",-0.05,4.583,97
"98","Fergus4","Lisa","Physical Contact",2.567,8.567,98
"99","Fergus4","Lisa","Physical Contact",8.317,13.183,99
"100","Fergus4","Lisa","Physical Contact",9.633,13.683,100
